longitude,latitude,anchores_id
121.8563556,39.02260556,dalian01
121.8617417,39.01745,dalian01
121.8522139,39.01077222,dalian01
121.8461139,39.01438611,dalian01
121.8643361,39.01538333,dalian02
121.8759472,39.00953333,dalian02
121.8947278,38.99781111,dalian02
121.8897861,38.99231389,dalian02
121.8618528,39.00615278,dalian02
121.906325,38.95940556,dalian03
121.9241667,39.01833333,dalian03
121.849225,39.04680278,dalian03
121.8334056,39.02639722,dalian03
113.6778056,22.66495278,guangzhou01
113.688525,22.62960833,guangzhou01
113.67875,22.62843889,guangzhou01
113.6678222,22.66184444,guangzhou01
113.5334028,23.06562222,guangzhou02
113.5355361,23.06390556,guangzhou02
113.5340028,23.06233333,guangzhou02
113.5317917,23.06425,guangzhou02
113.5306667,23.06262222,guangzhou03
113.5328444,23.06093333,guangzhou03
113.5305472,23.05805,guangzhou03
113.5281861,23.06005,guangzhou03
113.5268361,23.05911111,guangzhou04
113.5295167,23.05693611,guangzhou04
113.5274472,23.05478333,guangzhou04
113.5247111,23.05688611,guangzhou04
113.5227806,23.055375,guangzhou05
113.5255056,23.05348056,guangzhou05
113.5201306,23.04754167,guangzhou05
113.5169972,23.04943333,guangzhou05
113.5178972,23.04494444,guangzhou06
113.5132111,23.04240833,guangzhou06
113.5093194,23.04794167,guangzhou06
113.5133278,23.05008333,guangzhou06
113.4902667,23.07658889,guangzhou07
113.4931083,23.07697222,guangzhou07
113.4952611,23.07408056,guangzhou07
113.4909694,23.074525,guangzhou07
113.4901639,23.07659722,guangzhou07
113.4596833,23.09359444,guangzhou08
113.4587333,23.09046944,guangzhou08
113.4424111,23.09386389,guangzhou08
113.4428083,23.09648056,guangzhou08
113.4390722,23.096175,guangzhou09
113.4386444,23.09411111,guangzhou09
113.4339444,23.09498611,guangzhou09
113.4341167,23.09666389,guangzhou09
113.4258556,23.09534167,guangzhou10
113.4275556,23.09517222,guangzhou10
113.4279917,23.09750278,guangzhou10
113.4273194,23.09808889,guangzhou10
113.4172417,23.09946111,guangzhou11
113.4168111,23.09796944,guangzhou11
113.4217583,23.09640278,guangzhou11
113.4222083,23.09890278,guangzhou11
113.4107917,23.10330833,guangzhou12
113.4098583,23.10129722,guangzhou12
113.4160917,23.10033889,guangzhou12
113.4161139,23.1017,guangzhou12
113.6539833,22.58403333,guangzhou13
113.726675,22.62575278,guangzhou13
113.867275,22.68667222,guangzhou13
113.6815583,22.90970278,guangzhou13
113.4903139,23.12660278,guangzhou13
113.20335,23.12635,guangzhou13
119.4216167,34.74708333,lianyungang01
119.4330806,34.74760278,lianyungang01
119.4330917,34.74180556,lianyungang01
119.4338111,34.74271389,lianyungang02
119.4333056,34.74995556,lianyungang02
119.4419472,34.75049444,lianyungang02
119.4404028,34.74380278,lianyungang02
119.4936111,34.75583333,lianyungang03
119.4686111,34.70972222,lianyungang03
119.3419444,34.73472222,lianyungang03
119.3622222,34.76388889,lianyungang03
119.4436111,34.77027778,lianyungang03
121.8323389,29.95025,ningbo01
121.843925,29.947125,ningbo01
121.8386056,29.93545,ningbo01
121.8281278,29.93989167,ningbo01
121.8624056,29.94102222,ningbo02
121.8740306,29.93816944,ningbo02
121.8701306,29.92543889,ningbo02
121.8577917,29.92936944,ningbo02
121.9195278,29.93406944,ningbo03
121.9342667,29.94225,ningbo03
121.9398528,29.93161389,ningbo03
121.9249278,29.92396667,ningbo03
